age,income,loan_amount,credit_history_length,num_existing_loans,default
28,40501,47636,15,4,1
48,65183,9333,16,1,0
18,94687,6817,28,1,0
28,91899,10049,8,0,0
57,113144,25091,27,2,0
25,83749,27183,2,4,1
54,140538,8937,16,1,1
24,128173,12614,22,0,0
47,130363,43621,15,0,1
58,83199,5516,25,0,1
60,142204,37046,29,4,0
39,130885,27753,6,4,1
20,146940,14977,29,4,0
66,51999,16215,25,2,1
50,135621,39694,26,4,1
29,125424,37491,21,0,1
45,52451,13086,20,3,0
33,43296,10960,9,2,1
36,52154,27793,10,4,1
53,90775,26173,14,0,1
69,26837,45623,9,1,1
50,108707,42025,11,4,0
38,35836,6346,1,2,0
18,24427,16222,26,4,1
45,85041,11420,13,0,1
26,30525,16249,20,4,1
55,132959,32874,18,3,0
49,126171,11533,5,4,1
58,52554,24301,1,0,0
36,101903,29329,14,1,1
52,41648,36275,29,3,0
22,103483,36770,6,0,0
28,112450,25566,25,1,0
20,144777,23960,24,4,0
62,94533,38416,20,3,1
27,141660,33762,29,0,0
69,75235,6808,22,1,1
48,104049,23442,25,2,0
52,129077,38568,11,4,1
65,129295,45949,20,0,0
30,127581,49193,10,4,0
66,61613,45537,18,0,1
32,140856,12560,4,3,1
54,108044,16320,16,0,0
18,136786,40168,29,2,1
39,52989,32321,28,4,1
44,45247,6619,26,2,0
21,50103,31369,6,4,1
61,72734,20226,0,1,0
46,38162,11183,19,3,1
38,41185,29522,6,3,1
36,96629,27106,23,1,0
47,24822,27071,16,4,1
57,132129,31082,2,4,0
63,30081,5133,17,0,0
37,40292,23171,7,0,0
55,25969,25310,19,2,1
61,104075,28415,9,2,1
32,121904,5666,0,3,1
53,43254,34829,1,4,0
55,73118,43315,5,2,1
44,30935,27226,5,0,1
28,93803,45495,4,2,1
58,73361,24445,1,3,1
60,126431,25514,19,4,1
32,70846,26751,14,0,0
29,30159,42676,10,4,1
31,117339,9728,28,2,0
29,101740,10091,26,2,1
33,29255,44700,28,0,1
26,74797,18319,17,3,1
49,110981,44147,27,3,1
41,85768,33404,29,1,0
23,36495,35367,22,1,0
18,110909,11089,2,0,0
35,88976,49241,12,2,1
49,55581,33607,20,1,1
65,35210,40562,3,0,1
27,95065,10043,28,0,1
22,106805,20212,16,2,0
64,46228,17516,12,3,0
25,121331,44561,9,2,0
50,109554,23948,24,0,1
45,111858,33489,14,2,1
29,90826,9963,0,0,0
28,53921,29362,9,3,1
69,105632,36713,16,2,0
67,34859,15606,19,0,1
65,120972,27492,19,2,0
48,123427,25397,7,0,0
58,103013,16031,9,2,0
41,74549,10866,27,3,1
62,51759,27362,10,3,1
49,40178,25241,1,0,0
48,82788,44960,4,4,1
56,122046,11411,13,1,0
61,127878,42894,2,2,0
45,37176,8891,8,4,1
42,109670,42504,23,4,1
65,108778,25207,13,4,1
43,76142,39116,20,3,1
29,122037,40699,28,1,0
65,40412,41392,3,2,1
41,79328,42006,25,3,1
26,142777,49697,29,3,1
58,89167,35770,8,1,0
45,89592,8169,9,3,1
63,120107,30899,14,0,0
41,76476,5605,2,1,0
42,105675,16240,8,3,1
32,112796,44084,19,4,1
62,23829,6655,23,0,0
31,43323,21051,11,3,0
25,121615,8885,18,2,0
39,145066,8786,13,4,1
41,130510,45675,6,4,1
42,82861,30562,27,4,1
46,74528,21907,14,0,0
32,70118,43336,26,0,0
43,20914,15494,14,0,1
56,87146,33625,5,1,0
41,112519,31076,14,3,0
29,75349,17169,6,3,1
41,54617,24805,4,2,1
59,26614,15973,6,2,0
69,114792,21150,2,3,0
22,146591,17007,14,4,0
30,57439,23452,12,0,0
47,34251,40859,19,2,1
47,102306,38066,15,4,0
46,68541,11728,26,4,0
35,115019,42483,16,1,0
33,26033,13790,23,2,0
60,26137,21586,9,3,1
52,125521,20031,18,1,0
41,34740,28890,7,3,1
68,88042,18069,4,3,1
69,128846,30196,6,2,1
56,20331,44479,18,1,1
53,138587,19362,12,4,1
29,63122,31137,8,2,1
44,53534,9094,4,3,1
26,126445,31002,22,0,0
55,39062,10110,11,0,1
38,54420,31665,27,3,1
50,110419,20381,22,3,1
23,97600,29792,19,1,0
66,73292,20128,8,4,1
48,122815,36326,19,1,0
47,128812,39976,24,2,0
46,125456,45140,12,2,1
41,28887,26331,5,2,1
56,69330,17802,9,3,1
22,45632,33897,13,3,1
22,43468,23308,17,3,0
45,69140,16661,20,4,0
34,109487,15974,13,1,0
69,69784,23722,2,2,1
21,135943,26675,28,0,0
53,105801,23482,16,2,1
42,106050,39763,21,1,1
68,93622,32228,20,0,0
31,110207,23156,24,1,0
29,112633,16190,22,1,1
61,70297,12643,12,2,0
64,66552,43026,28,1,1
36,59468,46475,19,2,1
24,81105,38858,7,4,1
66,128285,32222,25,4,0
28,72575,17213,15,1,1
66,111126,25099,2,4,1
23,28131,31092,27,1,1
45,38454,18654,14,1,0
51,68018,46115,23,2,1
50,135658,32988,2,3,0
31,106954,18157,8,1,1
37,82509,33358,6,4,1
56,84377,48337,7,1,0
34,144883,34159,7,4,1
23,35052,21412,17,1,0
53,129359,47664,12,2,1
67,81718,36321,0,1,0
41,142362,14869,27,0,0
28,30232,42642,14,4,1
50,138510,38675,18,2,1
69,110612,40028,27,3,1
53,119876,8963,12,3,0
54,77739,7185,5,4,1
23,70295,33283,24,2,0
23,106246,36808,11,0,1
45,92557,7111,11,2,1
41,64136,37994,28,0,0
67,111504,29002,7,3,1
53,149262,28495,20,4,0
46,129123,40387,2,1,0
55,50576,8985,17,1,0
64,124974,23534,14,3,1
53,56040,21949,21,4,1
24,65069,11193,10,3,1
51,146567,25668,26,4,1
22,66795,35199,29,2,0
36,26565,31561,24,3,1
61,65175,34278,10,0,0
52,131042,12865,10,3,0
35,96327,11467,11,3,0
23,37391,24045,8,3,1
25,87467,11043,9,2,0
33,74082,13438,14,2,0
42,31899,24856,11,2,0
47,149731,16936,22,0,0
67,20594,47828,18,3,1
52,95873,29022,27,1,0
54,60642,42647,5,3,1
41,102336,20216,22,0,0
46,68618,24225,19,0,0
35,44435,45664,20,1,1
56,21517,45553,20,4,1
51,36092,39827,9,2,1
46,110460,49503,7,2,1
30,23680,27458,2,1,1
43,51659,39070,5,3,1
28,20693,12719,10,1,1
34,65398,16170,1,1,1
51,85789,44385,7,2,1
35,24234,13658,1,2,0
42,20089,49000,11,3,1
69,70489,30126,18,0,1
18,136295,17067,19,4,1
46,133140,39560,16,1,0
31,98339,14483,10,2,1
27,40463,16635,16,1,0
44,64792,47759,2,2,0
65,89079,36577,24,3,1
29,57164,15468,20,1,1
40,100880,21903,20,4,1
31,122931,31498,28,4,0
51,41006,30358,8,0,0
23,132828,38186,16,4,1
63,134890,40602,9,1,0
49,42913,19816,23,0,0
64,50374,23726,21,1,0
69,142472,23176,12,4,1
26,32608,18548,12,3,1
18,141545,48460,23,4,1
45,133025,37662,24,4,1
26,34479,27784,9,0,1
21,143299,32562,23,2,1
48,58866,6371,12,2,1
56,75776,48019,8,3,1
60,35818,14486,7,3,1
41,84318,14382,6,4,1
19,105704,31474,22,1,0
66,59017,39501,16,1,0
28,48563,13081,1,2,0
34,94001,44582,18,4,1
57,62616,18654,21,0,1
40,108332,45481,7,0,0
48,49840,45065,6,3,1
56,108507,19254,3,3,1
24,20434,34706,28,2,1
37,119532,18910,7,0,0
21,37967,46739,1,1,1
42,89963,45293,24,0,0
66,118715,26551,29,2,0
66,87558,19282,6,4,0
61,148939,45957,21,3,0
18,53001,23035,24,3,1
49,102614,22244,17,1,0
65,138876,39659,23,0,0
49,116144,44692,11,1,0
68,24334,29071,7,1,1
47,106951,21682,28,1,0
62,28281,35151,9,0,1
20,128136,36739,27,4,0
69,47578,46546,25,1,0
69,33261,49471,9,0,1
54,42344,7606,0,1,1
40,117735,21040,29,3,0
61,130407,10116,20,3,0
27,85469,48190,24,0,0
38,103412,5878,3,2,1
68,69527,25298,18,4,0
60,43277,39691,3,3,1
62,23862,42898,1,4,1
67,137527,13445,9,4,1
56,96155,32341,9,4,0
48,114919,14077,6,3,1
40,66678,5704,17,0,1
38,130283,29588,9,0,1
31,100550,19598,11,0,1
55,114221,28662,18,3,1
65,77040,18817,2,1,1
62,66453,34394,15,1,1
51,61026,45800,8,1,1
60,55821,31278,0,4,1
52,49120,15551,27,2,1
25,45220,33253,19,0,1
39,55958,23166,26,4,1
41,77542,25906,11,4,1
63,107307,31799,5,1,0
49,31802,16959,9,4,0
38,83836,43337,20,1,0
35,26197,14025,12,4,0
55,69698,22132,20,2,0
23,49321,22894,11,1,1
67,61014,27724,5,2,1
45,118841,48542,4,2,1
22,57126,35059,11,1,0
67,47696,14314,2,1,1
31,48331,13560,28,1,0
38,38917,34968,28,2,1
68,114186,46329,27,4,0
43,142635,31278,15,4,1
59,63001,29965,5,3,0
55,24179,16195,4,2,1
66,96752,10059,29,4,0
33,98569,28208,24,4,1
40,131210,17098,28,4,0
22,51448,16871,8,3,1
51,29418,27280,26,2,1
39,48403,17914,28,3,1
37,56771,47555,23,0,0
20,20263,32485,0,0,1
63,39755,25989,6,4,1
45,44689,5689,27,4,0
43,114165,48888,14,0,0
24,71690,28110,16,3,1
36,39125,23765,10,2,1
38,25817,47130,4,0,1
25,34184,14672,26,1,1
33,76711,10211,20,2,1
37,130446,25946,2,3,1
62,21000,5033,21,3,1
46,70546,15000,6,1,1
68,98256,41475,8,3,1
67,123261,47290,19,3,1
25,21339,29663,18,4,0
41,45686,15066,5,0,1
63,139900,29681,5,0,1
31,62338,5296,0,2,1
57,55243,27592,17,3,1
67,51741,16494,3,1,1
63,26627,18794,15,2,1
57,59199,33507,7,2,1
58,135040,18229,24,0,0
18,130088,48107,27,4,1
41,48716,25256,4,2,0
19,121400,30579,9,4,0
34,138397,32058,12,2,0
27,84923,35553,20,3,1
44,80788,27932,4,1,0
35,144560,25275,23,3,1
49,63496,22437,9,0,0
46,27988,22593,12,1,1
28,116260,27127,1,4,1
43,56701,11179,15,4,1
56,138165,48107,12,2,1
56,144239,20883,21,1,0
53,100228,48119,26,3,1
68,131190,14786,2,0,0
29,84827,8478,29,1,0
60,62219,31776,17,1,0
53,124896,17357,21,1,0
33,142456,16567,9,1,0
20,147817,29305,20,1,0
27,144881,24849,0,0,0
66,79669,11290,19,3,1
29,98128,21052,19,0,0
41,87074,35018,12,4,1
48,53783,42163,8,2,1
55,50813,28049,4,0,1
55,115108,7941,1,0,0
24,138274,15037,11,2,0
34,68579,45178,14,3,1
51,113159,29372,6,1,0
48,134689,27194,22,2,1
50,145917,25337,29,4,1
54,46216,22709,13,1,1
39,81341,28197,2,4,1
23,41924,16241,27,3,1
61,144959,38813,28,1,0
47,53298,44987,28,3,0
53,95264,23382,4,2,0
20,46492,13458,18,1,0
60,102071,14689,27,4,1
19,80783,13058,11,3,0
30,104090,40579,23,4,0
46,93686,21265,11,1,0
22,91166,21878,11,1,1
22,75675,47961,22,1,1
30,99800,11436,13,3,1
35,140725,15873,26,0,0
46,113682,40895,11,4,1
53,99880,41754,28,1,0
27,52359,8917,21,2,1
20,121947,7942,5,1,0
68,134916,35218,7,3,1
54,128620,20008,5,2,0
43,22344,46976,8,2,1
42,140614,38112,14,4,1
35,37718,16695,3,4,1
20,43569,47184,20,4,1
31,76146,22033,17,3,1
63,69826,47123,25,4,1
52,51371,45195,21,1,1
37,62014,34556,9,3,1
53,68305,42122,3,3,1
41,68362,18208,5,2,0
19,60827,21387,29,0,0
43,97716,30547,17,3,1
36,47131,26656,20,1,0
51,60282,8600,0,2,1
33,113562,35472,0,1,1
46,75150,21182,14,4,1
60,88660,35106,9,1,1
33,49057,32273,20,1,1
41,148327,28203,24,2,1
27,50430,38024,4,1,1
47,148140,8646,28,1,0
34,94796,39594,27,0,0
51,31058,36355,0,4,1
34,40818,19525,11,4,1
32,120541,44810,3,1,1
48,84470,44783,14,2,0
34,32026,22095,9,0,1
23,122936,47662,1,0,1
24,119864,6491,3,2,1
21,37759,17977,1,3,0
44,78802,24099,19,2,0
54,81980,35817,19,1,0
37,90670,29678,19,1,1
65,112524,32975,7,3,1
29,54527,49182,4,0,0
22,50443,12882,5,0,1
45,140831,42909,7,0,1
28,42608,45690,27,0,0
20,114746,19122,9,0,1
41,33289,33743,16,0,1
19,147526,14324,6,2,1
20,50263,15767,29,2,0
42,74768,40339,26,4,1
50,26127,6779,24,3,1
50,103011,16403,11,1,0
59,73355,7234,18,3,1
29,99358,46596,1,3,1
68,84358,47771,19,1,0
46,66914,32311,3,4,1
55,68329,13156,4,0,1
21,126154,19194,2,0,1
52,53980,17503,3,1,1
55,24862,48941,3,4,1
55,60558,20911,9,3,1
45,76501,14186,14,4,0
42,86550,38019,1,2,1
31,52532,7710,29,4,0
42,37814,5345,24,1,0
21,88352,21152,26,1,0
63,96687,47668,21,1,1
55,40488,40401,16,2,1
36,110247,36188,27,4,1
59,48391,36396,23,2,1
23,109507,16630,16,2,1
56,91670,31142,13,2,0
20,69868,42166,14,1,1
49,64585,33220,29,0,0
40,24122,8020,0,3,1
26,60356,32957,6,1,0
27,72755,21849,29,4,1
35,135503,6570,9,3,0
24,70985,42584,1,4,1
49,148527,7830,20,4,0
42,54179,34959,19,2,1
19,83227,26576,4,3,1
53,75600,24058,21,0,0
41,128425,24665,22,3,0
37,98850,46610,12,2,0
53,83740,40766,25,1,0
64,141890,8501,2,1,1
41,90109,13965,26,2,1
67,129127,9606,16,2,0
57,140904,15909,11,0,0
44,81437,22944,2,1,0
53,39682,49285,9,3,1
60,102009,38310,2,1,0
42,128444,49602,25,4,1
19,53705,13628,15,3,1
58,46172,32275,13,4,1
35,81437,25147,8,1,1
42,75428,6424,17,4,0
32,78239,24509,20,4,0
41,62721,17421,26,1,1
18,54305,19969,8,2,1
54,147818,25751,12,4,1
55,22155,46633,25,0,1
27,23679,19884,13,0,0
18,101430,20340,28,0,0
43,29563,20514,1,1,1
33,119970,48473,28,0,0
27,44413,14518,13,0,1
55,70426,23589,5,0,0
20,112961,31781,14,4,1
58,30467,10443,25,3,0
51,25440,24083,12,3,0
56,58247,24777,20,3,1
56,35739,29442,21,0,1
21,106278,32342,3,0,1
28,23917,7469,20,1,0
61,141207,48391,5,4,1
29,140957,12921,0,4,1
32,37021,39791,6,4,1
53,21213,14027,8,1,1
43,83436,37251,27,1,1
54,38707,43544,16,4,1
25,86515,7185,19,4,0
20,94821,19014,2,4,1
57,95565,19821,28,4,0
53,141903,19311,9,3,0
54,20245,18452,19,2,1
22,51185,38105,6,2,1
54,100193,32645,28,0,0
20,36401,32179,17,1,1
36,25944,5987,13,0,1
62,63902,41376,29,2,0
40,86340,39614,15,4,1
57,101736,45867,11,1,1
68,21845,43779,13,4,1
49,120706,16556,2,3,0
69,36230,5748,10,0,0
18,79184,26580,9,4,1
63,132009,30470,9,1,0
39,85876,37691,18,0,0
63,122085,34091,22,4,1
24,133558,26103,8,0,0
69,74254,29181,25,1,1
30,59189,42604,9,2,1
64,120523,7739,25,0,0
34,98058,18894,14,0,0
56,33608,46078,5,3,1
21,41832,22685,27,0,1
53,138130,21900,19,3,1
56,102952,5257,15,3,0
48,133018,31444,29,1,0
52,24651,9346,20,2,1
39,123355,42023,19,0,0
20,81464,40644,7,4,1
34,106785,38523,14,4,0
19,96740,26868,14,2,1
25,106615,7585,15,3,0
38,97583,46504,18,1,1
42,148698,9746,0,4,1
42,27126,26895,27,1,1
56,115788,20982,8,1,0
38,146312,47680,29,3,1
40,145792,24600,8,3,1
19,21715,10844,18,1,0
30,42674,14049,2,3,1
64,132804,5277,2,2,0
51,85706,5430,23,3,1
63,120024,34504,3,0,0
62,70080,35658,27,3,1
40,126800,7780,7,1,1
22,85319,45329,0,4,1
54,56596,10480,9,0,0
36,83784,44831,26,0,1
25,86370,31968,10,0,0
55,68422,12414,7,1,1
39,58840,30684,9,3,1
24,129338,19355,17,1,1
61,91620,33812,11,0,1
60,130521,26210,23,0,1
45,78612,21657,25,4,0
45,105479,11929,19,0,1
44,114465,48681,28,3,0
56,45736,15705,22,3,1
41,96414,26872,5,4,1
18,115675,37507,3,4,1
49,85214,8510,19,0,0
50,128217,28121,10,0,1
49,52090,29557,2,0,0
49,90743,5679,22,2,1
46,81833,24899,11,1,0
34,52477,11857,9,1,1
18,52867,29121,28,2,1
49,34909,39677,18,4,1
22,32996,40973,10,2,1
41,47813,42564,24,3,1
62,29096,15966,23,2,1
32,134540,41524,7,4,0
54,42231,39800,1,1,0
21,144710,23798,13,3,1
55,88650,34084,1,1,1
55,24433,20406,11,3,1
33,54295,27588,15,2,1
26,148256,16000,25,1,0
26,105678,7297,5,1,0
50,86020,49135,26,4,0
25,91020,24065,12,2,1
59,64688,42100,24,1,1
27,22509,23050,3,0,1
37,28444,49358,26,3,1
65,59019,15218,12,4,0
21,100294,16276,11,2,0
37,134420,7196,29,0,0
26,33616,11606,18,3,0
68,130694,32633,1,2,0
48,49627,31699,19,2,0
24,88197,7772,27,3,0
52,55562,44060,14,3,0
49,119750,45103,25,3,1
20,63429,41074,4,0,0
65,39533,32752,21,3,0
37,20018,32225,29,1,1
60,33475,23733,18,3,1
58,138402,45352,11,3,1
33,103036,7887,5,2,0
52,130999,42888,29,3,0
52,92859,9326,15,1,0
52,119958,14242,5,3,0
56,74309,42829,29,0,0
36,131354,25802,5,4,1
69,49980,37230,7,3,0
51,124952,21238,9,0,0
69,90603,8515,14,1,1
22,70708,46747,0,1,1
60,107120,36229,16,2,0
51,99083,46817,1,2,1
45,53917,28007,21,3,1
32,67330,24342,5,2,1
40,83129,20408,12,2,1
64,89117,25809,23,2,0
66,58761,37801,13,2,1
37,102513,48446,16,1,1
21,30658,11487,27,2,0
58,41323,27252,25,0,1
22,47829,26083,4,1,1
20,78171,8165,6,3,1
39,112194,15223,17,2,1
65,147916,41246,0,2,1
18,31861,13463,17,0,0
63,95233,21679,7,1,1
22,40286,43057,0,4,1
49,83314,7733,18,2,0
41,101107,22480,26,2,1
32,148159,5759,13,0,1
68,26827,32767,13,1,1
62,52157,34329,11,0,0
61,131365,49663,28,3,0
31,64537,48177,25,1,0
60,139755,13114,16,4,0
27,113595,7621,11,0,1
46,37447,7806,22,3,1
28,101170,25915,13,4,1
27,141323,30407,18,0,1
64,55563,48405,20,0,1
45,35822,43594,1,2,1
26,70880,8441,2,1,0
30,144870,12685,29,1,0
26,126162,9345,11,0,1
18,143032,36675,0,2,0
50,27625,18460,18,1,1
63,22700,25319,12,0,0
39,82504,30185,11,2,1
46,45043,23587,20,0,0
59,37599,42292,24,4,0
29,93648,46667,14,2,1
26,78115,10351,28,2,1
61,141968,6633,8,0,0
23,39310,21409,14,3,1
42,126733,48617,0,2,0
22,49226,39749,11,1,0
64,102150,7039,10,2,0
52,72212,8324,3,4,1
54,122296,42023,24,1,1
27,105282,10473,28,4,0
63,46424,30715,1,4,1
56,124750,38244,1,1,0
68,110092,35300,22,4,1
37,66846,16565,24,2,0
57,37610,44657,26,0,0
56,66800,16665,19,1,1
42,87534,11974,12,1,1
45,36801,34385,28,3,1
41,56333,20780,25,1,1
40,32865,49783,19,1,1
54,128088,9561,14,0,1
62,70816,16104,3,2,1
24,67525,7331,25,0,0
37,59562,15532,12,2,1
55,67952,32046,10,2,0
50,81715,30729,5,0,1
30,147542,25702,10,3,1
31,28554,13014,9,4,1
26,141484,37516,16,3,0
63,136238,41906,22,3,0
53,138916,47310,24,2,0
44,74161,19618,3,4,0
21,90513,9555,8,0,1
22,22590,42391,7,1,1
39,145082,49899,10,1,0
49,105954,26245,27,4,0
48,102722,8460,2,1,1
68,60834,20184,25,4,1
22,81652,12243,10,3,1
60,78721,29926,29,2,0
51,64823,10888,0,1,1
44,116070,5953,26,3,1
67,98387,38531,19,4,1
32,100591,41542,6,1,1
63,68810,13464,24,1,0
39,42368,45514,23,3,1
53,127783,24446,28,4,0
43,146039,26270,6,0,1
59,25383,24860,14,1,1
26,128876,42387,9,0,0
46,68580,38373,9,4,1
46,71895,18164,12,1,0
41,71035,33743,22,1,1
31,149798,48043,16,0,1
49,66119,8296,16,1,0
61,123301,7512,6,4,1
55,98047,46308,4,0,0
63,148784,41696,24,3,1
23,44690,46061,15,4,1
66,90309,15858,26,1,0
25,95763,42809,18,0,1
47,64644,27773,22,2,0
61,141109,21907,3,1,1
57,131615,38082,4,0,1
26,81243,32633,3,4,1
45,88646,15349,8,2,1
31,58786,21912,21,2,1
47,72135,11500,15,0,1
50,69682,48753,17,4,1
30,34023,21395,5,1,1
38,58604,29926,5,1,1
21,73404,11522,16,2,0
22,123897,13841,9,0,0
23,87798,47782,8,2,1
59,122074,24950,1,2,0
59,108320,15333,9,0,1
62,136478,41729,2,1,0
29,36547,31522,14,3,1
22,73826,23785,4,0,0
48,125808,8060,15,0,0
25,39407,13933,0,2,1
49,117403,44984,11,2,0
25,36723,11828,13,3,1
51,24114,13184,26,0,0
42,56627,24577,18,4,1
29,27440,27350,8,3,1
20,29036,49636,3,3,1
67,28499,16211,14,0,1
19,122106,9709,21,0,0
30,115777,47305,1,2,0
33,27099,37574,8,0,0
31,81582,29884,7,1,1
57,138782,49353,1,3,1
19,87196,19322,12,1,1
35,144370,38377,2,3,1
29,42553,37792,27,4,1
20,85261,41411,15,2,1
60,148554,40269,10,0,1
29,98518,21925,26,2,1
60,22805,23789,27,1,0
18,121424,37179,21,3,0
36,61532,30294,11,1,1
62,124101,29573,10,1,1
32,110364,5538,5,4,1
46,119777,40904,23,4,0
31,133194,24058,10,3,1
59,118914,9387,17,3,1
35,59481,5240,20,4,0
36,121525,34560,20,3,1
26,26896,18527,2,3,1
59,46047,41414,26,2,0
34,114271,17107,6,2,0
50,20289,5204,4,4,1
41,110051,7738,5,1,0
31,86678,19943,0,1,1
52,54518,36834,8,4,1
63,24791,30746,20,3,1
59,139870,36589,24,4,1
27,35757,9779,20,2,0
30,34602,49003,2,3,1
51,126311,11147,15,0,0
22,103691,17083,3,2,1
67,122281,27776,24,3,0
19,145848,29748,16,4,1
21,31584,48492,24,4,1
68,129847,20442,25,1,0
46,91445,36985,24,4,0
59,92569,33736,16,4,0
47,66411,6754,2,3,1
54,119236,46048,21,2,1
63,46433,33168,21,4,1
63,45493,20568,17,4,1
62,84389,22202,8,0,0
56,106169,17558,24,1,0
25,56238,32614,15,4,0
67,108288,25891,12,1,1
24,37639,10409,24,2,0
63,82575,6180,4,3,0
28,32710,13408,9,2,1
35,129477,33064,0,0,1
47,103899,27786,8,0,1
64,89810,17754,27,1,0
48,132281,49662,0,0,1
28,65238,48413,24,1,1
57,24226,14261,26,2,0
34,106430,34126,8,3,1
33,54507,40594,21,2,0
56,54355,17979,18,0,0
36,42172,15831,12,1,0
69,100411,32121,25,2,0
48,56599,37634,21,4,1
30,68750,43653,8,2,1
30,111791,46554,11,0,1
30,30134,29895,6,2,1
54,97312,48185,12,0,1
32,96606,29790,11,4,1
25,97308,33732,27,1,0
41,84139,33176,19,3,1
30,95448,38675,22,0,1
35,131813,13332,18,3,1
37,83611,11947,12,2,1
21,102920,48823,0,4,1
42,93629,23555,25,2,0
30,62559,5219,10,4,1
44,135639,34423,19,0,1
29,65021,44432,19,1,0
37,52017,21178,12,0,1
44,38952,43148,14,3,1
30,33547,18655,1,4,1
56,21707,47502,8,0,1
63,99553,18074,8,3,0
68,81862,45378,13,1,1
54,145168,18341,18,1,1
25,74357,11698,1,0,0
46,112588,17429,23,1,0
56,75299,42547,27,2,0
58,33050,13336,9,0,0
28,38617,12630,15,0,0
24,55181,49455,12,2,0
66,83446,38016,10,4,1
27,34119,13690,23,4,1
51,111909,45993,28,2,0
52,108090,41197,19,1,0
53,81233,43063,7,1,0
26,120929,41960,19,4,1
59,36979,46404,8,4,1
55,27935,34059,15,3,0
62,45073,25231,12,4,0
29,113187,26830,1,4,1
67,114759,46558,0,0,0
37,138768,49884,20,0,0
44,49904,9830,4,0,1
25,89709,32809,24,2,0
39,42019,11232,16,3,1
61,110467,36588,29,0,0
28,69985,44534,17,1,1
57,76377,17422,4,3,1
49,52611,40126,25,1,1
46,70458,19760,9,4,1
37,24086,46681,3,0,0
53,75582,37249,10,1,1
23,64720,8667,21,0,0
40,145700,34535,3,0,1
28,126704,13466,28,4,1
60,123507,36012,25,3,1
30,33617,42030,26,4,1
28,85240,21572,22,4,1
21,21158,34431,0,1,1
22,39785,9991,28,0,0
56,87512,15222,29,4,1
66,129657,29493,17,0,0
62,41637,23208,17,1,1
55,48164,32349,28,0,1
39,114237,28345,6,0,0
22,85357,30781,18,0,0
36,39211,7590,14,1,1
21,141803,30187,8,2,1
22,22445,15137,19,0,1
53,131585,22323,24,0,0
66,81920,37792,24,1,0
19,89100,13472,27,2,1
48,64363,41697,12,4,1
46,57685,30396,1,3,1
22,37426,16475,7,1,1
25,114327,45137,8,2,1
56,130955,39983,15,1,0
64,138220,27903,11,1,0
52,66698,48251,18,4,1
52,32390,36223,18,0,0
48,126451,38386,16,2,0
64,148584,17731,17,0,0
51,90276,21973,26,1,1
68,59412,49570,8,4,1
56,92106,5665,26,4,0
40,96458,36629,25,3,1
67,40246,33204,15,4,1
67,97141,35986,20,1,1
33,74078,42379,11,1,1
66,70058,12201,23,1,0
59,120406,7490,29,2,0
18,144638,35513,5,2,0
62,104445,35366,11,4,1
28,52440,33323,0,4,1
35,71772,5109,13,3,1
32,35497,19368,1,2,1
38,123439,39443,12,1,1
47,116694,25521,23,0,0
59,21129,22773,11,3,1
59,125988,23225,24,3,0
52,63120,33745,11,1,1
31,52372,8325,10,0,0
25,47147,16162,20,3,0
47,23779,20597,1,2,0
59,120694,12568,13,3,1
62,35984,49209,4,2,1
28,133102,34704,13,4,1
33,68580,44708,27,1,1
57,58382,32679,22,4,1
64,67794,44245,5,4,1
49,40929,43863,2,3,1
18,144021,17148,29,1,0
30,69090,33652,16,3,1
51,108948,19494,23,2,0
41,48836,5882,24,1,0
36,67478,41883,6,3,1
24,103764,24026,18,4,1
22,63053,18681,21,2,1
37,102003,33243,22,2,1
44,68042,19588,0,1,1
34,41323,13035,3,4,1
63,127648,10351,17,2,0
24,33909,43110,21,4,1
61,54550,7376,11,4,0
66,59614,28774,28,1,0
58,90695,10642,16,4,1
66,116252,19929,20,1,0
32,112867,47540,10,4,1
28,135140,30868,22,1,0
40,125604,41765,29,3,0
55,97496,17430,3,0,1
57,132107,11205,3,3,0
29,109398,8135,8,3,1
43,71782,37874,7,4,1
55,41756,43230,14,0,0
23,51276,27164,0,0,1
43,41748,10684,28,1,0
45,91361,17363,0,4,1
33,149453,19631,18,3,0
52,51424,32739,8,3,1
28,22225,9965,20,3,1
35,21006,23174,3,4,1
51,79405,25453,7,3,1
26,125967,45415,19,0,1
33,125133,44839,12,2,0
28,126079,44960,24,2,0
56,111036,39827,29,0,1
51,78072,40682,6,1,0
69,59368,47670,8,0,1
22,65951,37703,14,3,1
37,58915,29923,18,3,1
52,42267,16561,23,0,0
46,102155,38676,25,1,0
60,115702,35316,14,1,0
57,61920,14216,20,3,0
44,38675,18091,2,4,1
60,72347,45210,17,2,0
58,82661,24974,14,1,1
32,44771,24620,9,0,0
23,27333,20032,19,1,1
62,34854,8406,20,4,0
49,129559,47965,12,1,1
32,47750,35381,5,0,1
39,146029,48274,14,2,0
52,60558,35705,5,4,1
66,136096,12665,27,3,0
23,141362,15598,10,4,1
45,45910,45889,11,0,1
24,124389,19926,3,0,1
29,51198,9190,0,4,1
28,54899,46604,11,4,1
61,98241,16105,10,2,1
41,21448,25744,28,3,0
61,44468,18101,0,1,1
26,133609,25150,9,2,0
41,121262,14407,23,1,0
33,22965,12959,18,3,1
33,130047,21276,6,4,1
35,130172,16072,7,2,1
18,46717,7184,2,4,1
56,51736,7040,7,2,1
45,147075,42209,26,3,1
56,116707,32600,15,3,1
34,23114,26163,15,4,1
46,79619,17160,7,0,0
